80
-1.4585e+07  2.7111e+08  3.3063e+10
-1.4216e+07  2.5508e+08	 3.2838e+10
-1.3847e+07  2.5536e+08	 3.2990e+10
-1.3478e+07  2.1845e+08	 3.3307e+10
-1.3108e+07  1.9090e+08	 3.2658e+10
-1.2739e+07  2.4551e+08	 3.1672e+10
-1.2370e+07  3.7517e+08	 3.0164e+10
-1.2001e+07  5.5866e+08	 2.9189e+10
-1.1631e+07  7.8856e+08	 2.9697e+10
-1.1262e+07  1.5322e+09	 3.2084e+10
-1.0893e+07  3.2058e+09	 3.5847e+10
-1.0524e+07  6.5097e+09	 3.8004e+10
-1.0154e+07  1.1267e+10	 3.7621e+10
-9.7851e+06  1.5972e+10	 3.3549e+10
-9.4159e+06  2.1349e+10	 3.0127e+10
-9.0466e+06  2.8038e+10	 2.9298e+10
-8.6774e+06  3.6481e+10	 2.9622e+10
-8.3081e+06  4.9838e+10	 3.0677e+10
-7.9389e+06  7.3342e+10	 3.2230e+10
-7.5696e+06  1.0891e+11	 3.6341e+10
-7.2004e+06  1.4771e+11	 4.2084e+10
-6.8311e+06  1.7474e+11	 4.5609e+10
-6.4619e+06  1.9164e+11	 4.7902e+10
-6.0926e+06  2.0856e+11	 5.2015e+10
-5.7234e+06  2.4931e+11	 5.8082e+10
-5.3541e+06  3.1792e+11	 6.3028e+10
-4.9849e+06  3.8792e+11	 6.7363e+10
-4.6156e+06  4.6761e+11	 7.0674e+10
-4.2464e+06  5.5109e+11	 7.2346e+10
-3.8771e+06  6.2830e+11	 7.6645e+10
-3.5079e+06  7.1432e+11	 8.8245e+10
-3.1386e+06  9.1454e+11	 1.0142e+11
-2.7694e+06  9.6088e+11	 9.8818e+10
-2.4001e+06  6.4360e+11	 1.0049e+11
-2.0309e+06  4.4971e+11	 1.1978e+11
-1.6616e+06  3.2649e+11	 1.3685e+11
-1.2924e+06  1.2819e+11	 1.3966e+11
-9.2312e+05  5.5267e+10	 1.3181e+11
-5.5388e+05  6.1769e+04	 5.8023e+09
-1.8462e+05  6.1769e+04	 5.8023e+09
1.8462e+05  6.1769e+04 	5.8023e+09 
5.5388e+05  8.9045e+09 	2.1564e+10 
9.2312e+05  1.5991e+10 	6.5064e+10 
1.2924e+06  9.2888e+10 	1.0866e+11 
1.6616e+06  1.0532e+11 	1.0996e+11 
2.0309e+06  6.4182e+11 	1.1992e+11 
2.4001e+06  8.2401e+11 	8.3058e+10 
2.7694e+06  7.5810e+11 	7.9268e+10 
3.1386e+06  6.8436e+11 	8.2905e+10 
3.5079e+06  6.0127e+11 	7.8617e+10 
3.8771e+06  5.2883e+11 	7.4493e+10 
4.2464e+06  4.7814e+11 	7.0972e+10 
4.6156e+06  4.4525e+11 	6.7712e+10 
4.9849e+06  3.9954e+11 	6.2751e+10 
5.3541e+06  2.9951e+11 	5.7639e+10 
5.7234e+06  2.1359e+11 	5.1803e+10 
6.0926e+06  1.7215e+11 	4.7517e+10 
6.4619e+06  1.5412e+11 	4.4889e+10 
6.8311e+06  1.4199e+11 	4.2486e+10 
7.2004e+06  1.2845e+11 	4.0337e+10 
7.5696e+06  1.0894e+11 	3.7642e+10 
7.9389e+06  8.2330e+10 	3.3260e+10 
8.3081e+06  5.4858e+10 	2.8337e+10 
8.6774e+06  3.4506e+10 	2.4756e+10 
9.0466e+06  2.3402e+10 	2.2965e+10 
9.4159e+06  1.6989e+10 	2.1851e+10 
9.7851e+06  1.2764e+10 	2.1158e+10 
1.0154e+07  9.4541e+09 	2.1120e+10 
1.0524e+07  6.7582e+09 	2.1696e+10 
1.0893e+07  4.4543e+09 	2.3551e+10 
1.1262e+07  2.5537e+09 	2.7121e+10 
1.1631e+07  1.2562e+09 	3.2465e+10 
1.2001e+07  5.0948e+08 	3.6537e+10 
1.2370e+07  2.1776e+08 	3.6798e+10 
1.2739e+07  2.3874e+08 	3.6775e+10 
1.3108e+07  3.4107e+08 	3.7141e+10 
1.3478e+07  4.4522e+08 	3.8102e+10 
1.3847e+07  5.4884e+08 	3.9531e+10 
1.4216e+07  5.4995e+08 	4.0190e+10 
1.4585e+07  4.4502e+08 	4.0906e+10 
